t,Mode,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,StateBlc0,StateBlc1,StateBlc2,StateBlc3,StateBlc4,StateBlc5,StateBlc6,StateBlc7,StateBlc8,StateBlc9,StateBlc10,StateBlc11,StateBlc12,StateBlc13,StateBlc14,StateBlc15,State
836.5,1,35.413554184943,20.456452966990508,20.41693247497341,36.50165906061332,21.273277145375776,20.22752999893359,18.925318711015912,21.370120791639415,20.50139150809409,26.49865256290425,21.755045816138832,33.102015973398245,29.284165581394134,20.522875012114934,44.57247984031792,21.156559127519884,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
836.6,0,35.67976192669363,20.452817845050216,20.41335871652134,36.407663988622296,21.263983024743407,20.21952530465146,18.924724347157564,21.366288034670802,20.49734047545049,26.4448524598986,21.754345846797797,33.0130471128514,29.51512655221118,20.529745488372736,44.85068955029281,21.159285603062067,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
836.7,1,35.94723076608979,20.44933171551256,20.409757528790717,36.31415738158199,21.254873838629514,20.211543077952037,18.924126102192506,21.362387922776627,20.49339873886668,26.391424808811667,21.75371842136029,32.924631696531826,29.747072681485783,20.536798981083372,45.12987924008854,21.162091177431414,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
836.8000000000001,1,36.21596687508016,20.445994314846796,20.40612939122169,36.22113663439212,21.24594913048644,20.20358351160831,18.923524003681756,21.3584213919887,20.48956638673689,26.338367203978457,21.753163981310824,32.83676631776044,29.98000831170985,20.544035470918114,45.410052513542375,21.164976161847907,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
836.9000000000001,1,36.4859764547434,20.44280538445563,20.402474779066882,36.12859915611035,21.237208449761077,20.195646795613584,18.922918079953533,21.35438936972558,20.48584350770538,26.285677256554877,21.752682964139012,32.74944759157056,30.21393780396367,20.55145494146136,45.69121298752406,21.167940865924262,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
837.0,1,36.75726573543826,20.43976467064907,20.398794163437685,36.03654236984956,21.228651351861544,20.187733117227918,18.92230836008075,21.350292774888327,20.4822301906921,26.233352594360433,21.75227580341344,32.66267215452268,30.44886553800011,20.559057379217716,45.97336429198161,21.17098559770113,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
837.1,1,37.02984097695523,20.43687192461825,20.395088011350516,35.94496371267454,21.220277398123862,20.179842661024537,18.921694873858492,21.346132517956256,20.47872652491831,26.181390861720647,21.751942928855534,32.57643666451889,30.684795912330113,20.566842773619108,46.256510069988764,21.17411066368232,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
837.2,1,37.303708468665164,20.434126902409314,20.391356785773144,35.85386063549973,21.212086155778685,20.171975608936336,18.921077651781527,21.341909501082704,20.475332599932237,26.129789719310047,21.75168476641344,32.49073780061807,30.92173334430556,20.574811117031818,46.54065397778922,21.177316368869988,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
837.3000000000001,1,37.57887452895906,20.431529365380506,20.387600944941912,35.763230604457824,21.204077198502276,20.164132139495557,18.920456725474082,21.33762461666291,20.47204850521884,26.078546846452657,21.75150173707901,32.40557226563769,31.159682269793763,20.582962404651706,46.82579968462987,21.18060301624378,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
837.4000000000001,1,37.85534550405522,20.429079081087327,20.383820941033292,35.67307110357285,21.19625010748515,20.156312426359026,18.91983212852024,21.33327874454864,20.46887432944127,26.027659945600135,21.751394254591542,32.32093679122493,31.39864714248605,20.59129663430035,47.1119508724022,21.183970905747394,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
837.5,1,38.133127771719096,20.426775820833758,20.380017223864826,35.583379627278276,21.188604468469393,20.148516642398654,18.919203894174082,21.328872759803197,20.465810162551197,25.9771267298517,21.75136273181245,32.23682812369806,31.638632436043366,20.599813806992902,47.39911123676285,21.187420337111483,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
837.6,1,38.41222773991312,20.424619360665243,20.376190239404018,35.49415368341796,21.18113987294763,20.14074495804663,18.91857205629096,21.32440752957515,20.462856094937493,25.9269449279804,21.75140757814858,32.15324302973904,31.8796426433145,20.608513926709318,47.687284486728814,21.190951608716144,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
837.7,1,38.692651846780755,20.422609481454316,20.372340429646005,35.40539079348429,21.1738559182649,20.132997541155323,18.91793664940963,21.319883912840734,20.460012217355676,25.877112284844618,21.751529199335376,32.07017829685347,32.12168227632391,20.617397000375476,47.976474344672184,21.194565017497524,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
837.8000000000001,1,38.974406560790605,20.42074596887954,20.36846823265213,35.31708849253046,21.166752207591472,20.125274557035183,18.917297708734527,21.315302760483437,20.457278620949165,25.827626561256444,21.75172799749748,31.98763073321441,32.36475586635289,20.626463037869136,48.26668454636531,21.198260858977143,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
